id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow
287,BEL,Mar 2022,4207,-4872,-1078,-1742
288,BEL,Mar 2023,1199,2708,-1262,2645
289,BEL,Mar 2024,4659,-5924,-1475,-2739
290,BHARTIARTL,Mar 2013,22608,-18676,-4566,-634
291,BHARTIARTL,Mar 2014,26233,-25181,2774,3826
292,BHARTIARTL,Mar 2015,28059,-22301,-9672,-3914
293,BHARTIARTL,Mar 2016,27942,-14091,-11946,1905
294,BHARTIARTL,Mar 2017,28280,-30680,-351,-2752
295,BHARTIARTL,Mar 2018,29854,-27940,1920,3835
296,BHARTIARTL,Mar 2019,20070,-28286,9464,1248
297,BHARTIARTL,Mar 2020,18129,-29598,19144,7675
298,BHARTIARTL,Mar 2021,48205,-27286,-24910,-3991
299,BHARTIARTL,Mar 2022,55017,-41478,-15203,-1664
300,BHARTIARTL,Mar 2023,65325,-39232,-24470,1623
301,BHARTIARTL,Mar 2024,78898,-51089,-27778,31
302,BHEL,Mar 2013,1759,-1113,472,1118
303,BHEL,Mar 2014,4512,-868,523,4167
304,BHEL,Mar 2015,821,650,-3543,-2071
305,BHEL,Mar 2016,374,23,-122,275
306,BHEL,Mar 2017,560,-565,-468,-473
307,BHEL,Mar 2018,989,961,-667,1283
308,BHEL,Mar 2019,-3860,1919,-32,-1973
309,BHEL,Mar 2020,-2892,1877,1622,608
310,BHEL,Mar 2021,560,-42,-394,123
311,BHEL,Mar 2022,660,-1118,-329,-787
312,BHEL,Mar 2023,-741,1480,89,829
313,BHEL,Mar 2024,-3713,1331,2656,274
314,BOSCHLTD,Dec 2012,871,-824,-156,-108
315,BOSCHLTD,Dec 2013,1057,-846,-238,-27
316,BOSCHLTD,Mar 2015,1396,-1183,-237,-24
317,BOSCHLTD,Mar 2016,1318,-995,-356,-33
318,BOSCHLTD,Mar 2017,1457,1246,-2670,33
319,BOSCHLTD,Mar 2018,1729,-1170,-325,234
320,BOSCHLTD,Mar 2019,593,1766,-2531,-172
321,BOSCHLTD,Mar 2020,1336,-873,-399,64
322,BOSCHLTD,Mar 2021,835,-463,-338,34
323,BOSCHLTD,Mar 2022,271,-33,-383,-146
324,BOSCHLTD,Mar 2023,1214,262,-1239,236
325,BOSCHLTD,Mar 2024,1253,283,-1452,84
326,BPCL,Mar 2013,5926,-3604,-846,1476
327,BPCL,Mar 2014,9588,-6881,-3736,-1029
328,BPCL,Mar 2015,20742,-10536,-9792,414
329,BPCL,Mar 2016,11119,-9233,-1332,555
330,BPCL,Mar 2017,9041,-15274,4804,-1429
331,BPCL,Mar 2018,11068,-7066,-4218,-215
332,BPCL,Mar 2019,10157,-10451,207,-87
333,BPCL,Mar 2020,7881,-11135,3583,329
334,BPCL,Mar 2021,23455,-2474,-13981,7000
335,BPCL,Mar 2022,20336,-8138,-17672,-5474
336,BPCL,Mar 2023,12466,-7806,-4402,257
337,BPCL,Mar 2024,35936,-10521,-25427,-12
338,BRITANNIA,Mar 2013,320,28,-378,-30
339,BRITANNIA,Mar 2014,671,-246,-357,68
340,BRITANNIA,Mar 2015,584,-450,-181,-47
341,BRITANNIA,Mar 2016,959,-705,-246,8
342,BRITANNIA,Mar 2017,441,-150,-295,-4
343,BRITANNIA,Mar 2018,1249,-957,-232,60
344,BRITANNIA,Mar 2019,1156,-852,-353,-49
345,BRITANNIA,Mar 2020,1485,-1526,58,17
346,BRITANNIA,Mar 2021,1876,433,-2242,66
347,BRITANNIA,Mar 2022,1300,914,-2246,-32
348,BRITANNIA,Mar 2023,2526,-1507,-1028,-9
349,BRITANNIA,Mar 2024,2573,477,-2830,219
350,CANBK,Mar 2013,8010,-435,-1043,6532
351,CANBK,Mar 2014,14244,-380,-3771,10092
352,CANBK,Mar 2015,6344,-1104,-1464,3776
353,CANBK,Mar 2016,9346,-443,-806,8096
354,CANBK,Mar 2017,2575,-476,124,2224
355,CANBK,Mar 2018,-11120,-487,2865,-8743
356,CANBK,Mar 2019,18237,-745,-1185,16307
357,CANBK,Mar 2020,-5289,-445,7792,2059
358,CANBK,Mar 2021,59118,-1116,290,58291
359,CANBK,Mar 2022,919,-1429,4035,3525
360,CANBK,Mar 2023,-39978,-1156,445,-40689
361,CANBK,Mar 2024,15046,-1750,-3834,9462
362,CHOLAFIN,Mar 2013,-3754,5,4067,317
363,CHOLAFIN,Mar 2014,-2447,-83,2749,219
364,CHOLAFIN,Mar 2015,-2264,-40,1819,-485
365,CHOLAFIN,Mar 2016,-2809,-137,3031,85
366,CHOLAFIN,Mar 2017,-1468,-222,1692,2
367,CHOLAFIN,Mar 2018,-7926,-60,8009,22
368,CHOLAFIN,Mar 2019,-9317,-11,12191,2862
369,CHOLAFIN,Mar 2020,-2075,-54,2452,323
370,CHOLAFIN,Mar 2021,-8848,-1746,8707,-1888
371,CHOLAFIN,Mar 2022,-5571,1640,5150,1218
372,CHOLAFIN,Mar 2023,-27105,-2148,27466,-1787
373,CHOLAFIN,Mar 2024,-35683,-2855,38471,-66
374,CIPLA,Mar 2013,1398,-2063,718,53
375,CIPLA,Mar 2014,1563,-1265,-266,33
376,CIPLA,Mar 2015,1173,-950,165,388
377,CIPLA,Mar 2016,1741,-4533,3104,312
378,CIPLA,Mar 2017,2382,-1304,-1326,-248
379,CIPLA,Mar 2018,1463,-834,-385,243
380,CIPLA,Mar 2019,1691,-1688,-349,-345
381,CIPLA,Mar 2020,3068,114,-2949,234
382,CIPLA,Mar 2021,3755,-2374,-1240,141
383,CIPLA,Mar 2022,3326,-1858,-1600,-132
384,CIPLA,Mar 2023,3238,-2376,-958,-97
385,CIPLA,Mar 2024,4134,-2982,-1200,-49
386,COALINDIA,Mar 2013,9109,-1833,-7852,-575
387,COALINDIA,Mar 2014,14525,8580,-25350,-2246
388,COALINDIA,Mar 2015,14382,894,-15026,250
389,COALINDIA,Mar 2016,13154,8154,-19587,1721
390,COALINDIA,Mar 2017,16461,455,-17598,-682
391,COALINDIA,Mar 2018,21115,-7747,-13564,-196
392,COALINDIA,Mar 2019,16356,-7896,-10885,-2426
393,COALINDIA,Mar 2020,4977,1033,-4791,1219
394,COALINDIA,Mar 2021,10592,182,-8453,2321
395,COALINDIA,Mar 2022,41107,-25715,-13441,1951
396,COALINDIA,Mar 2023,35734,-23465,-13704,-1436
397,COALINDIA,Mar 2024,18103,-4486,-13899,-282
398,DABUR,Mar 2013,870,-622,-234,13
399,DABUR,Mar 2014,1098,-104,-804,190
400,DABUR,Mar 2015,1047,-876,-417,-245
401,DABUR,Mar 2016,1187,-730,-374,82
402,DABUR,Mar 2017,1227,-807,-339,81
403,DABUR,Mar 2018,1092,-541,-577,-27
404,DABUR,Mar 2019,1499,338,-1888,-51
405,DABUR,Mar 2020,1614,-517,-1043,54
406,DABUR,Mar 2021,2115,-1404,-613,97
407,DABUR,Mar 2022,1802,-1273,-490,38
408,DABUR,Mar 2023,1488,-583,-1035,-130
409,DABUR,Mar 2024,2013,-971,-1161,-119
410,DIVISLAB,Mar 2013,480,-255,-231,-5
411,DIVISLAB,Mar 2014,557,-305,-248,3
412,DIVISLAB,Mar 2015,826,-521,-303,3
413,DIVISLAB,Mar 2016,1038,-406,-631,0
414,DIVISLAB,Mar 2017,1150,-1140,2,13
415,DIVISLAB,Mar 2018,776,-478,-314,-17
416,DIVISLAB,Mar 2019,954,-685,-246,23
417,DIVISLAB,Mar 2020,1216,-83,-1091,41
418,DIVISLAB,Mar 2021,1947,75,-35,1987
419,DIVISLAB,Mar 2022,1912,-2195,-532,-816
420,DIVISLAB,Mar 2023,2459,-2707,-797,-1045
421,DIVISLAB,Mar 2024,1261,-269,-799,193
422,DLF,Mar 2013,2009,1995,-3951,52
423,DLF,Mar 2014,1468,3924,-4532,860
424,DLF,Mar 2015,2037,98,-1547,588
425,DLF,Mar 2016,2957,-818,-1929,210
426,DLF,Mar 2017,-898,872,787,761
427,DLF,Mar 2018,270,-2102,-232,-2064
428,DLF,Mar 2019,2043,3,875,2921
429,DLF,Mar 2020,356,6508,-9522,-2658
430,DLF,Mar 2021,1460,150,-2184,-573
431,DLF,Mar 2022,2832,267,-3828,-729
432,DLF,Mar 2023,2375,-461,-2013,-98
433,DLF,Mar 2024,2539,-1529,177,1186
434,DMART,Mar 2013,127,-231,118,14
435,DMART,Mar 2014,198,-270,65,-7
436,DMART,Mar 2015,222,-474,234,-17
437,DMART,Mar 2016,433,-633,196,-3
438,DMART,Mar 2017,455,-2482,2025,-1
439,DMART,Mar 2018,730,464,-1159,34
440,DMART,Mar 2019,807,-958,209,57
441,DMART,Mar 2020,1280,-4657,3357,-19
442,DMART,Mar 2021,1375,-1110,-180,86
443,DMART,Mar 2022,1372,-1289,-179,-96
444,DMART,Mar 2023,2630,-2313,-205,112
445,DMART,Mar 2024,2746,-2468,-148,130
446,DRREDDY,Mar 2013,1378,-1437,-157,-216
447,DRREDDY,Mar 2014,1970,-1604,-24,342
448,DRREDDY,Mar 2015,2524,-2370,-433,-280
449,DRREDDY,Mar 2016,3263,-1610,-1700,-47
450,DRREDDY,Mar 2017,2144,-1890,-369,-114
451,DRREDDY,Mar 2018,1803,-1483,-444,-124
452,DRREDDY,Mar 2019,2870,-769,-2133,-31
453,DRREDDY,Mar 2020,2984,-495,-2516,-27
454,DRREDDY,Mar 2021,3570,-2255,-30,1286
455,DRREDDY,Mar 2022,2811,-2565,-242,3
456,DRREDDY,Mar 2023,5888,-4109,-2686,-907
457,DRREDDY,Mar 2024,4543,-4034,-376,133
458,EICHERMOT,Dec 2012,496,-773,-111,-388
459,EICHERMOT,Dec 2013,716,-790,-47,-121
460,EICHERMOT,Dec 2014,1047,-1214,-162,-329
461,EICHERMOT,Mar 2016,1463,-1001,-466,-4
462,EICHERMOT,Mar 2017,1708,-1744,25,-10
463,EICHERMOT,Mar 2018,2482,-2145,-262,75
464,EICHERMOT,Mar 2019,1575,-660,-292,623
465,EICHERMOT,Mar 2020,1694,-1508,-858,-673
466,EICHERMOT,Mar 2021,1691,-1625,-15,51
467,EICHERMOT,Mar 2022,1527,-983,-593,-50
468,EICHERMOT,Mar 2023,2823,-2397,-417,8
469,EICHERMOT,Mar 2024,3724,-2834,-844,45
470,GAIL,Mar 2013,6603,-8626,3642,1618
471,GAIL,Mar 2014,4615,-4466,-3,146
472,GAIL,Mar 2015,4214,-2809,-3058,-1653
473,GAIL,Mar 2016,3960,-904,-3028,29
474,GAIL,Mar 2017,6024,-334,-5275,415
475,GAIL,Mar 2018,8769,-2660,-5252,858
476,GAIL,Mar 2019,7984,-5701,-3364,-1081
477,GAIL,Mar 2020,8345,-8299,281,328
478,GAIL,Mar 2021,8993,-4640,-3471,882
479,GAIL,Mar 2022,9420,-5490,-3917,13
480,GAIL,Mar 2023,3205,-7453,2972,-1276
481,GAIL,Mar 2024,12586,-8226,-3457,902
482,GODREJCP,Mar 2013,820,-865,282,237
483,GODREJCP,Mar 2014,1116,-494,-620,1
484,GODREJCP,Mar 2015,1027,-1236,-12,-221
485,GODREJCP,Mar 2016,847,-622,-202,23
486,GODREJCP,Mar 2017,1860,-2243,665,282
487,GODREJCP,Mar 2018,1723,-336,-1384,3
488,GODREJCP,Mar 2019,1729,274,-2039,-36
489,GODREJCP,Mar 2020,1588,-552,-1295,-259
490,GODREJCP,Mar 2021,2030,-292,-1816,-79
491,GODREJCP,Mar 2022,1451,-844,-380,227
492,GODREJCP,Mar 2023,2151,-1754,-794,-398
493,GODREJCP,Mar 2024,2070,-3435,1406,41
494,GRASIM,Mar 2013,4242,-5687,1348,-97
495,GRASIM,Mar 2014,3549,-2336,-1046,168
496,GRASIM,Mar 2015,4594,-2359,-2278,-42
497,GRASIM,Mar 2016,5868,-4515,-1365,-11
498,GRASIM,Mar 2017,7288,-3509,-3799,-20
499,GRASIM,Mar 2018,-4140,1546,3449,856
500,GRASIM,Mar 2019,-1659,-2212,4158,287
501,GRASIM,Mar 2020,16620,-11364,-3418,1838
502,GRASIM,Mar 2021,15075,-7146,-8003,-75
503,GRASIM,Mar 2022,7038,-1053,-6733,-748
504,GRASIM,Mar 2023,-12685,-13712,26469,72
505,GRASIM,Mar 2024,-10719,-23114,33908,75
506,HAL,Mar 2017,-423,3021,-164,2433
507,HAL,Mar 2018,-734,594,-2540,-2680
508,HAL,Mar 2019,-7694,5292,2321,-80
509,HAL,Mar 2020,1537,-1334,64,266
510,HAL,Mar 2021,15124,-1190,-7070,6864
511,HAL,Mar 2022,10180,-12789,-1464,-4072
512,HAL,Mar 2023,8836,-5734,-1731,1370
513,HAL,Mar 2024,8226,-6412,-1999,-185
514,HAVELLS,Mar 2013,638,-144,-252,242
515,HAVELLS,Mar 2014,868,-376,-310,183
516,HAVELLS,Mar 2015,963,-485,-754,-277
517,HAVELLS,Mar 2016,513,-121,-621,-229
518,HAVELLS,Mar 2017,767,-220,-98,450
519,HAVELLS,Mar 2018,1100,-946,-409,-255
520,HAVELLS,Mar 2019,501,185,-318,368
521,HAVELLS,Mar 2020,827,-548,-716,-437
522,HAVELLS,Mar 2021,660,-763,190,87
523,HAVELLS,Mar 2022,1728,-759,-547,421
524,HAVELLS,Mar 2023,565,31,-907,-311
525,HAVELLS,Mar 2024,1953,-1618,-534,-199
526,HCLTECH,Jun 2013,4492,-2361,-2086,44
527,HCLTECH,Jun 2014,6457,-4842,-1308,307
528,HCLTECH,Jun 2015,5539,-2088,-3140,311
529,HCLTECH,Mar 2016,3823,-2208,-2237,-623
530,HCLTECH,Mar 2017,8995,-3890,-4517,588
531,HCLTECH,Mar 2018,8328,-2236,-5714,378
532,HCLTECH,Mar 2019,8971,-3256,-1471,4244
533,HCLTECH,Mar 2020,13359,-12332,-3168,-2141
534,HCLTECH,Mar 2021,19618,-5665,-11192,2761
535,HCLTECH,Mar 2022,16900,1597,-14508,3989
536,HCLTECH,Mar 2023,18009,-3573,-15881,-1445
537,HCLTECH,Mar 2024,22448,-6608,-15464,376
538,HDFCBANK,Mar 2013,-5847,-902,13105,6356
539,HDFCBANK,Mar 2014,4211,-1099,9270,12382
540,HDFCBANK,Mar 2015,-21281,-800,18694,-3387
541,HDFCBANK,Mar 2016,-34435,-837,37815,2542
542,HDFCBANK,Mar 2017,17282,-1146,-5893,10242
543,HDFCBANK,Mar 2018,17214,-842,57378,73750
544,HDFCBANK,Mar 2019,-62872,-1503,23131,-41244
545,HDFCBANK,Mar 2020,-16869,-1403,24394,6122
546,HDFCBANK,Mar 2021,42476,-1823,-7321,33332
547,HDFCBANK,Mar 2022,-11960,-2051,48124,34113
548,HDFCBANK,Mar 2023,20814,-2992,23941,41762
549,HDFCBANK,Mar 2024,19069,16600,-3983,31687
